UNITID,ACAD_YEAR,FILE_NAME,TABLE_TRIM,Current year GRS cohort as a percent of entering class,Exclusions from full-time fall 2022 cohort,Exclusions from part-time fall 2022 cohort,Full-time adjusted fall 2022 cohort,Full-time fall 2022 cohort,Full-time first-time degree/certificate-seeking undergraduate (current year GRS cohort),"Full-time retention rate, 2023",Inclusions to the full-time fall 2022 cohort,Inclusions to the part-time fall 2022 cohort,Part-time adjusted fall 2022 cohort,Part-time fall 2022 cohort,"Part-time retention rate, 2023",Student-to-faculty ratio,Students from the full-time adjusted fall 2022 cohort enrolled in fall 2023,Students from the part-time adjusted fall 2022 cohort enrolled in fall 2023,"Total entering students at the undergraduate level, fall 2023"
100654,2007,ef2006d_RV.csv,EFD,85,,,,,1133,70,,,,,46,,,,1334
100654,2008,ef2007d_rv.csv,EFD,100,0,0,1133,1133,882,69,,,5,5,0,,777,0,885
100654,2009,ef2008d_rv.csv,EFD,89,0,0,882,882,1044,68,,,3,3,33,,598,1,1179
100654,2010,ef2009d_rv.csv,EFD,80,0,0,1044,1044,1044,69,,,2,2,50,14,718,1,1301
100654,2011,ef2010d_rv.csv,EFD,83,0,0,1046,1046,1113,75,,,8,8,50,20,780,4,1345
100654,2012,ef2011d_rv.csv,EFD,81,0,0,1110,1110,841,64,,,10,10,10,19,715,1,1042
100654,2013,ef2012d_rv.csv,EFD,85,0,0,841,841,1001,68,,,12,12,58,17,569,7,1171
100654,2014,ef2013d_rv.csv,EFD,86,0,0,1001,1001,1088,63,,,8,8,50,15,632,4,1269
100654,2015,ef2014d_rv.csv,EFD,86,0,0,1066,1066,1194,66,,,15,15,33,20,703,5,1392
100654,2016,ef2015d_rv.csv,EFD,74,0,0,1194,1194,1222,58,,,13,13,31,19,690,4,1653
100654,2017,ef2016d_rv.csv,EFD,76,0,0,1222,1222,1410,58,0,0,165,165,31,18,705,51,1857
100654,2018,ef2017d_rv.csv,EFD,80,0,0,1410,1410,1288,59,0,0,38,38,13,18,829,5,1604
100654,2019,ef2018d_rv.csv,EFD,84,0,0,1288,1288,1402,61,0,0,6,6,100,20,784,6,1676
100654,2020,ef2019d_rv.csv,EFD,93,0,0,1401,1401,1688,57,0,0,3,3,67,20,797,2,1809
100654,2021,ef2020d_rv.csv,EFD,89,2,0,1686,1688,1525,54,0,0,6,6,33,18,911,2,1712
100654,2022,ef2021d_rv.csv,EFD,84,0,0,1525,1525,1417,58,0,0,10,10,40,18,884,4,1692
100654,2023,ef2022d_rv.csv,EFD,87,0,0,1417,1417,1547,59,0,0,60,60,25,19,840,15,1771
100654,2024,ef2023d.csv,EFD,84,0,0,1547,1547,1976,64,0,0,10,10,40,19,988,4,2354
100663,2007,ef2006d_RV.csv,EFD,58,,,,,1487,75,,,,,30,,,,2576
100663,2008,ef2007d_rv.csv,EFD,56,0,0,1487,1487,1392,75,,,44,44,48,,1119,21,2485
100663,2009,ef2008d_rv.csv,EFD,53,2,0,1383,1385,1247,80,,,26,26,42,,1100,11,2340
100663,2010,ef2009d_rv.csv,EFD,55,0,0,1247,1247,1497,82,,,30,30,57,17,1017,17,2723
100663,2011,ef2010d_rv.csv,EFD,52,0,0,1503,1503,1542,80,,,20,20,70,17,1202,14,2967
100663,2012,ef2011d_rv.csv,EFD,53,0,0,1542,1542,1578,79,,,29,29,62,18,1214,18,2962
100663,2013,ef2012d_rv.csv,EFD,53,0,0,1578,1578,1654,80,,,28,28,61,18,1261,17,3119
100663,2014,ef2013d_rv.csv,EFD,53,0,0,1653,1653,1732,80,,,22,22,50,18,1325,11,3277
100663,2015,ef2014d_rv.csv,EFD,50,1,0,1729,1730,1719,83,,,40,40,58,18,1433,23,3410
100663,2016,ef2015d_rv.csv,EFD,52,0,1,1718,1718,1593,79,,,28,29,61,18,1351,17,3071
100663,2017,ef2016d_rv.csv,EFD,51,0,0,1593,1593,1948,82,0,0,28,28,43,16,1300,12,3796
100663,2018,ef2017d_rv.csv,EFD,56,0,0,1931,1931,2228,84,0,0,73,73,44,19,1629,32,3964
100663,2019,ef2018d_rv.csv,EFD,57,8,0,2199,2207,2245,82,0,0,71,71,46,19,1800,33,3965
100663,2020,ef2019d_rv.csv,EFD,60,3,0,2242,2245,2304,83,0,0,54,54,59,19,1863,32,3836
100663,2021,ef2020d_rv.csv,EFD,57,0,0,2294,2294,2102,86,0,0,42,42,48,20,1982,20,3661
100663,2022,ef2021d_rv.csv,EFD,63,0,0,2090,2090,2361,84,0,0,52,52,60,19,1754,31,3766
100663,2023,ef2022d_rv.csv,EFD,62,3,0,2350,2353,2172,82,0,0,54,54,54,18,1937,29,3477
100663,2024,ef2023d.csv,EFD,63,1,0,2161,2162,2057,82,0,0,45,45,47,18,1771,21,3287
100706,2007,ef2006d_RV.csv,EFD,43,,,,,805,77,,,,,59,,,,1862
100706,2008,ef2007d_rv.csv,EFD,43,0,0,805,805,759,77,,,33,33,58,,617,19,1763
100706,2009,ef2008d_rv.csv,EFD,41,0,0,759,759,765,77,,,41,41,44,,588,18,1849
100706,2010,ef2009d_rv.csv,EFD,46,0,0,765,765,774,76,,,31,31,45,17,578,14,1682
100706,2011,ef2010d_rv.csv,EFD,43,0,0,774,774,600,75,,,26,26,54,16,584,14,1395
100706,2012,ef2011d_rv.csv,EFD,41,0,0,600,600,652,79,,,22,22,50,16,473,11,1574
100706,2013,ef2012d_rv.csv,EFD,43,0,0,652,652,615,79,,,25,25,52,16,517,13,1434
100706,2014,ef2013d_rv.csv,EFD,43,0,0,615,615,638,81,,,9,9,44,16,498,4,1474
100706,2015,ef2014d_rv.csv,EFD,48,0,0,638,638,714,77,,,13,13,62,16,491,8,1503
100706,2016,ef2015d_rv.csv,EFD,55,0,0,714,714,1027,80,,,10,10,40,16,573,4,1858
100706,2017,ef2016d_rv.csv,EFD,58,1,0,1026,1027,1203,83,0,0,11,11,55,17,847,6,2064
100706,2018,ef2017d_rv.csv,EFD,59,10,1,1193,1203,1341,82,0,0,8,9,38,16,984,3,2260
100706,2019,ef2018d_rv.csv,EFD,60,2,0,1338,1340,1428,83,0,0,11,11,9,17,1109,1,2392
100706,2020,ef2019d_rv.csv,EFD,63,0,0,1428,1428,1489,83,0,0,7,7,14,19,1184,1,2376
100706,2021,ef2020d_rv.csv,EFD,61,0,0,1489,1489,1328,82,0,0,8,8,25,19,1218,2,2186
100706,2022,ef2021d_rv.csv,EFD,58,0,0,1328,1328,1191,79,0,0,17,17,18,19,1049,3,2040
100706,2023,ef2022d_rv.csv,EFD,61,0,0,1191,1191,1154,80,0,0,13,13,31,17,955,4,1890
100706,2024,ef2023d.csv,EFD,61,0,0,1154,1154,1162,81,0,0,18,18,28,17,929,5,1896
100724,2007,ef2006d_RV.csv,EFD,85,,,,,1297,56,,,,,67,,,,1517
100724,2008,ef2007d_rv.csv,EFD,88,1,0,1296,1297,1351,55,,,48,48,69,,712,33,1535
100724,2009,ef2008d_rv.csv,EFD,84,0,0,1351,1351,1329,54,,,15,15,40,,736,6,1591
100724,2010,ef2009d_rv.csv,EFD,86,0,0,1329,1329,1209,53,,,49,49,27,17,709,13,1413
100724,2011,ef2010d_rv.csv,EFD,79,0,0,1209,1209,1090,64,,,12,12,42,17,768,5,1386
100724,2012,ef2011d_rv.csv,EFD,81,0,0,1090,1090,1102,54,,,11,11,18,17,594,2,1363
100724,2013,ef2012d_rv.csv,EFD,85,0,0,1100,1100,1436,62,,,6,6,50,16,677,3,1681
100724,2014,ef2013d_rv.csv,EFD,86,0,0,1436,1436,1520,62,,,43,43,30,16,893,13,1768
100724,2015,ef2014d_rv.csv,EFD,88,0,0,1518,1518,1068,57,,,25,25,28,16,869,7,1212
100724,2016,ef2015d_rv.csv,EFD,85,0,0,1068,1068,1008,60,,,19,19,63,16,643,12,1188
100724,2017,ef2016d_rv.csv,EFD,85,0,0,1006,1006,1143,63,0,0,13,13,38,17,630,5,1340
100724,2018,ef2017d_rv.csv,EFD,87,0,0,1143,1143,951,59,0,0,20,20,35,15,677,7,1088
100724,2019,ef2018d_rv.csv,EFD,86,0,0,951,951,1025,59,0,0,16,16,13,15,558,2,1185
100724,2020,ef2019d_rv.csv,EFD,85,0,0,1025,1025,1000,61,0,0,13,13,54,15,628,7,1175
100724,2021,ef2020d_rv.csv,EFD,82,2,0,998,1000,926,62,0,0,19,19,5,15,619,1,1123
100724,2022,ef2021d_rv.csv,EFD,78,0,3,926,926,797,64,0,0,46,49,22,13,596,10,1027
100724,2023,ef2022d_rv.csv,EFD,88,0,0,797,797,938,60,0,0,93,93,20,14,475,19,1067
100724,2024,ef2023d.csv,EFD,83,0,0,938,938,909,60,0,0,5,5,80,16,567,4,1091
100751,2007,ef2006d_RV.csv,EFD,74,,,,,4359,85,,,,,52,,,,5864
100751,2008,ef2007d_rv.csv,EFD,76,42,0,4317,4359,4493,87,,,19,19,58,,3747,11,5921
100751,2009,ef2008d_rv.csv,EFD,76,15,0,4478,4493,5034,84,,,45,45,60,,3774,27,6616
100751,2010,ef2009d_rv.csv,EFD,79,24,0,5010,5034,5096,83,,,82,82,49,20,4183,40,6487
100751,2011,ef2010d_rv.csv,EFD,77,34,0,5062,5096,5489,85,,,20,20,65,19,4294,13,7158
100751,2012,ef2011d_rv.csv,EFD,77,44,0,5445,5489,5703,86,,,30,30,50,19,4707,15,7451
100751,2013,ef2012d_rv.csv,EFD,78,37,1,5666,5703,6338,85,,,24,25,63,20,4837,15,8083
100751,2014,ef2013d_rv.csv,EFD,79,40,1,6298,6338,6428,87,,,32,33,66,21,5479,21,8133
100751,2015,ef2014d_rv.csv,EFD,79,39,1,6389,6428,6794,87,,,25,26,60,21,5539,15,8615
100751,2016,ef2015d_rv.csv,EFD,79,1,0,6793,6794,7176,86,,,30,30,47,24,5874,14,9066
100751,2017,ef2016d_rv.csv,EFD,81,2,0,7174,7176,7541,86,0,0,35,35,40,23,6189,14,9306
100751,2018,ef2017d_rv.csv,EFD,80,3,0,7538,7541,7385,87,0,0,18,18,56,23,6565,10,9214
100751,2019,ef2018d_rv.csv,EFD,79,2,0,7383,7385,6632,88,0,0,22,22,64,22,6488,14,8442
100751,2020,ef2019d_rv.csv,EFD,78,1,0,6631,6632,6734,87,0,0,31,31,48,20,5764,15,8597
100751,2021,ef2020d_rv.csv,EFD,81,2,0,6732,6734,6466,87,0,0,30,30,57,20,5872,17,7948
100751,2022,ef2021d_rv.csv,EFD,82,2,0,6464,6466,7540,89,0,0,41,41,54,19,5724,22,9223
100751,2023,ef2022d_rv.csv,EFD,84,1,0,7539,7540,7981,87,0,0,53,53,60,19,6535,32,9538
100751,2024,ef2023d.csv,EFD,85,7,0,7974,7981,8215,86,0,0,56,56,50,19,6865,28,9715
100812,2010,ef2009d_rv.csv,EFD,,,,,,,,,,,,,18,,,
100812,2011,ef2010d_rv.csv,EFD,,,,,,,,,,,,,18,,,
100812,2012,ef2011d_rv.csv,EFD,,,,,,,,,,,,,17,,,
100812,2013,ef2012d_rv.csv,EFD,,,,,,,,,,,,,17,,,
100812,2014,ef2013d_rv.csv,EFD,,,,,,,,,,,,,17,,,
100812,2015,ef2014d_rv.csv,EFD,,,,,,,,,,,,,16,,,
100812,2016,ef2015d_rv.csv,EFD,,,,,,,,,,,,,23,,,
100812,2017,ef2016d_rv.csv,EFD,,,,,,,,,,,,,15,,,
100812,2018,ef2017d_rv.csv,EFD,,,,,,,,,,,,,15,,,
100812,2019,ef2018d_rv.csv,EFD,,,,,,,,,,,,,15,,,
100812,2020,ef2019d_rv.csv,EFD,,,,,,,,,,,,,14,,,
100812,2021,ef2020d_rv.csv,EFD,,,,,,,,,,,,,15,,,
100812,2022,ef2021d_rv.csv,EFD,,,,,,,,,,,,,14,,,
100812,2023,ef2022d_rv.csv,EFD,,,,,,,,,,,,,14,,,
100812,2024,ef2023d.csv,EFD,,,,,,,,,,,,,14,,,
100830,2007,ef2006d_RV.csv,EFD,41,,,,,526,63,,,,,49,,,,1286
100830,2008,ef2007d_rv.csv,EFD,44,0,0,526,526,531,54,,,107,107,64,,284,68,1211
100830,2009,ef2008d_rv.csv,EFD,62,0,0,535,535,712,61,,,101,101,42,,325,42,1153
100830,2010,ef2009d_rv.csv,EFD,60,0,0,712,712,737,58,,,109,109,41,18,411,45,1221
100830,2011,ef2010d_rv.csv,EFD,57,0,0,729,729,758,54,,,139,139,42,19,396,59,1332
100830,2012,ef2011d_rv.csv,EFD,60,0,0,758,758,709,50,,,172,172,38,16,380,65,1189
100830,2013,ef2012d_rv.csv,EFD,60,0,0,595,595,596,59,,,122,122,40,16,349,49,989
100830,2014,ef2013d_rv.csv,EFD,57,0,0,579,579,685,63,,,77,77,45,16,366,35,1202
100830,2015,ef2014d_rv.csv,EFD,53,0,0,589,589,637,65,,,82,82,37,15,384,30,1196
100830,2016,ef2015d_rv.csv,EFD,50,1,0,557,558,568,65,,,55,55,47,16,360,26,1132
100830,2017,ef2016d_rv.csv,EFD,50,1,0,567,568,558,67,0,0,52,52,48,14,378,25,1123
100830,2018,ef2017d_rv.csv,EFD,53,0,0,558,558,627,68,0,0,35,35,46,16,381,16,1190
100830,2019,ef2018d_rv.csv,EFD,55,0,0,627,627,730,67,0,0,25,25,60,17,420,15,1330
100830,2020,ef2019d_rv.csv,EFD,52,0,0,730,730,602,66,0,0,27,27,37,16,481,10,1158
100830,2021,ef2020d_rv.csv,EFD,60,1,0,601,602,641,70,0,0,24,24,33,16,419,8,1072
100830,2022,ef2021d_rv.csv,EFD,43,0,0,641,641,517,63,0,1,34,33,24,15,404,8,1195
100830,2023,ef2022d_rv.csv,EFD,48,1,0,516,517,384,70,0,0,22,22,23,15,362,5,794
100830,2024,ef2023d.csv,EFD,57,1,0,383,384,408,66,0,0,22,22,27,15,252,6,712
100858,2007,ef2006d_RV.csv,EFD,75,,,,,4069,87,,,,,,,,,5395
100858,2008,ef2007d_rv.csv,EFD,75,0,0,4094,4094,4160,86,,,0,0,,,3523,0,5511
100858,2009,ef2008d_rv.csv,EFD,75,0,0,4170,4170,3959,87,,,0,0,,,3628,0,5277
100858,2010,ef2009d_rv.csv,EFD,74,0,0,3959,3959,3898,86,,,25,25,64,18,3412,16,5256
100858,2011,ef2010d_rv.csv,EFD,79,0,0,3896,3896,4079,87,,,18,18,22,18,3407,4,5176
100858,2012,ef2011d_rv.csv,EFD,77,0,0,4076,4076,4170,89,,,20,20,70,18,3619,14,5449
100858,2013,ef2012d_rv.csv,EFD,76,0,0,4164,4164,3815,90,,,31,31,58,18,3748,18,5052
100858,2014,ef2013d_rv.csv,EFD,77,0,0,3805,3805,3696,89,,,34,34,85,18,3404,29,4813
100858,2015,ef2014d_rv.csv,EFD,76,0,0,3693,3693,4552,91,,,30,30,60,17,3343,18,5955
100858,2016,ef2015d_rv.csv,EFD,77,0,0,4549,4549,4854,90,,,39,39,69,19,4085,27,6337
100858,2017,ef2016d_rv.csv,EFD,72,3,1,4851,4854,4487,91,0,0,44,45,75,19,4415,33,6228
100858,2018,ef2017d_rv.csv,EFD,74,6,3,4481,4487,4771,92,0,0,39,42,87,19,4101,34,6446
100858,2019,ef2018d_rv.csv,EFD,75,7,6,4764,4771,4744,90,0,0,59,65,75,19,4287,44,6317
100858,2020,ef2019d_rv.csv,EFD,78,10,0,4734,4744,4761,91,0,0,39,39,56,20,4325,22,6071
100858,2021,ef2020d_rv.csv,EFD,81,2,2,4759,4761,4869,92,0,0,45,47,76,20,4377,34,6014
100858,2022,ef2021d_rv.csv,EFD,80,6,3,4863,4869,5254,93,0,0,42,45,83,20,4517,35,6571
100858,2023,ef2022d_rv.csv,EFD,77,5,1,5249,5254,5282,92,0,0,56,57,73,20,4830,41,6858
100858,2024,ef2023d.csv,EFD,73,8,0,5274,5282,5916,93,0,0,21,21,67,21,4915,14,8061
101480,2007,ef2006d_RV.csv,EFD,59,,,,,1106,68,,,,,45,,,,1864
101480,2008,ef2007d_rv.csv,EFD,63,0,0,1106,1106,1252,69,,,38,38,53,,766,20,1982
101480,2009,ef2008d_rv.csv,EFD,52,0,0,1252,1252,1243,70,,,50,50,42,,880,21,2409
101480,2010,ef2009d_rv.csv,EFD,62,0,0,1243,1243,1220,68,,,56,56,43,20,846,24,1961
101480,2011,ef2010d_rv.csv,EFD,55,0,0,1220,1220,1246,68,,,32,32,69,20,829,22,2258
101480,2012,ef2011d_rv.csv,EFD,56,0,0,1246,1246,1384,68,,,26,26,23,20,845,6,2470
101480,2013,ef2012d_rv.csv,EFD,59,0,0,1384,1384,1302,67,,,30,30,47,18,924,14,2222
101480,2014,ef2013d_rv.csv,EFD,55,0,0,1302,1302,1142,71,,,30,30,30,18,926,9,2083
101480,2015,ef2014d_rv.csv,EFD,50,0,0,1142,1142,1169,72,,,16,16,56,19,820,9,2324
101480,2016,ef2015d_rv.csv,EFD,47,0,0,1169,1169,1021,74,,,16,16,38,18,869,6,2157
101480,2017,ef2016d_rv.csv,EFD,51,0,0,1021,1021,1294,78,0,0,28,28,46,18,801,13,2543
101480,2018,ef2017d_rv.csv,EFD,46,0,0,1294,1294,1115,74,0,0,26,26,35,19,959,9,2434
101480,2019,ef2018d_rv.csv,EFD,47,0,0,1115,1115,1060,75,0,0,32,32,44,18,841,14,2244
101480,2020,ef2019d_rv.csv,EFD,53,0,0,1060,1060,1469,76,0,0,13,13,46,18,802,6,2789
101480,2021,ef2020d_rv.csv,EFD,50,0,0,1469,1469,1290,73,0,0,24,24,50,21,1078,12,2572
101480,2022,ef2021d_rv.csv,EFD,60,0,0,1290,1290,1782,69,0,0,23,23,30,19,893,7,2988
101480,2023,ef2022d_rv.csv,EFD,60,0,0,1782,1782,1911,66,0,0,36,36,28,19,1170,10,3203
101480,2024,ef2023d.csv,EFD,58,0,0,1911,1911,1798,64,0,0,30,30,33,19,1231,10,3088
101587,2007,ef2006d_RV.csv,EFD,65,,,,,350,62,,,,,100,,,,542
101587,2008,ef2007d_rv.csv,EFD,59,42,0,308,350,347,71,,,4,4,100,,219,4,592
101587,2009,ef2008d_rv.csv,EFD,55,0,0,347,347,279,62,,,19,19,47,,215,9,508
101587,2010,ef2009d_rv.csv,EFD,52,0,0,310,310,243,65,,,11,11,73,19,203,8,468
101587,2011,ef2010d_rv.csv,EFD,54,0,0,193,193,290,63,,,16,16,25,18,121,4,536
101587,2012,ef2011d_rv.csv,EFD,50,0,0,290,290,355,57,,,16,16,25,17,166,4,703
101587,2013,ef2012d_rv.csv,EFD,55,0,0,348,348,384,57,,,5,5,40,16,198,2,698
101587,2014,ef2013d_rv.csv,EFD,59,0,0,365,365,375,58,,,13,13,54,16,211,7,637
101587,2015,ef2014d_rv.csv,EFD,61,0,0,355,355,348,65,,,5,5,60,15,229,3,574
101587,2016,ef2015d_rv.csv,EFD,64,0,0,336,336,417,66,,,2,2,0,13,223,0,650
101587,2017,ef2016d_rv.csv,EFD,58,0,0,417,417,373,66,0,0,3,3,67,12,274,2,638
101587,2018,ef2017d_rv.csv,EFD,63,0,0,373,373,460,66,0,0,4,4,75,13,245,3,735
101587,2019,ef2018d_rv.csv,EFD,54,0,0,460,460,413,62,0,0,1,1,100,14,287,1,771
101587,2020,ef2019d_rv.csv,EFD,45,0,0,413,413,320,67,0,0,2,2,100,14,275,2,709
101587,2021,ef2020d_rv.csv,EFD,38,0,0,320,320,245,63,0,0,2,2,100,14,200,2,647
101587,2022,ef2021d_rv.csv,EFD,39,1,0,244,245,301,63,0,0,9,9,67,14,153,6,770
101587,2023,ef2022d_rv.csv,EFD,38,0,0,301,301,300,69,0,1,4,3,25,18,208,1,790
101587,2024,ef2023d.csv,EFD,36,0,0,293,293,309,61,0,0,7,7,43,17,178,3,861
101709,2007,ef2006d_RV.csv,EFD,67,,,,,470,70,,,,,50,,,,706
101709,2008,ef2007d_rv.csv,EFD,98,0,0,470,470,482,75,,,9,9,56,,351,5,491
101709,2009,ef2008d_rv.csv,EFD,68,0,0,482,482,507,74,,,9,9,67,,355,6,744
101709,2010,ef2009d_rv.csv,EFD,66,0,0,507,507,409,79,,,11,11,55,16,399,6,624
101709,2011,ef2010d_rv.csv,EFD,66,1,0,408,409,425,72,,,20,20,45,17,295,9,647
101709,2012,ef2011d_rv.csv,EFD,71,1,0,424,425,497,77,,,7,7,57,17,326,4,701
101709,2013,ef2012d_rv.csv,EFD,74,1,0,496,497,539,78,,,10,10,30,16,386,3,726
101709,2014,ef2013d_rv.csv,EFD,73,0,0,539,539,519,74,,,13,13,69,16,397,9,708
101709,2015,ef2014d_rv.csv,EFD,72,0,0,519,519,530,79,,,12,12,42,16,409,5,736
101709,2016,ef2015d_rv.csv,EFD,75,0,0,530,530,501,77,,,10,10,60,16,408,6,668
101709,2017,ef2016d_rv.csv,EFD,74,0,0,501,501,473,73,0,0,4,4,50,14,367,2,638
101709,2018,ef2017d_rv.csv,EFD,74,0,0,473,473,482,78,0,0,4,4,50,14,367,2,649
101709,2019,ef2018d_rv.csv,EFD,76,0,0,482,482,488,76,0,0,5,5,60,13,366,3,645
101709,2020,ef2019d_rv.csv,EFD,69,0,0,488,488,482,74,0,0,2,2,100,13,361,2,694
101709,2021,ef2020d_rv.csv,EFD,68,0,0,482,482,455,78,0,0,11,11,18,12,378,2,668
101709,2022,ef2021d_rv.csv,EFD,70,0,0,455,455,478,71,0,0,16,16,56,12,323,9,687
101709,2023,ef2022d_rv.csv,EFD,76,0,0,478,478,540,73,0,0,15,15,27,12,350,4,709
101709,2024,ef2023d.csv,EFD,45,0,0,540,540,499,73,0,0,4,4,25,13,395,1,1097
101879,2007,ef2006d_RV.csv,EFD,48,,,,,999,68,,,,,62,,,,2063
101879,2008,ef2007d_rv.csv,EFD,60,0,0,999,999,934,65,,,20,20,10,,645,2,1568
101879,2009,ef2008d_rv.csv,EFD,61,0,0,934,934,988,66,,,89,89,30,,621,27,1622
101879,2010,ef2009d_rv.csv,EFD,61,0,0,988,988,927,71,,,27,27,78,22,701,21,1524
101879,2011,ef2010d_rv.csv,EFD,57,0,0,1064,1064,961,65,,,17,17,71,21,694,12,1686
101879,2012,ef2011d_rv.csv,EFD,58,0,0,961,961,912,71,,,18,18,17,20,681,3,1579
101879,2013,ef2012d_rv.csv,EFD,63,0,0,916,916,1057,69,,,13,13,54,21,629,7,1679
101879,2014,ef2013d_rv.csv,EFD,57,0,0,1051,1051,953,71,,,21,21,33,21,744,7,1683
101879,2015,ef2014d_rv.csv,EFD,50,0,0,953,953,931,72,,,17,17,29,17,689,5,1844
101879,2016,ef2015d_rv.csv,EFD,56,0,0,931,931,1159,76,,,13,13,31,21,706,4,2057
101879,2017,ef2016d_rv.csv,EFD,58,0,0,1159,1159,1177,75,0,0,14,14,64,20,870,9,2042
101879,2018,ef2017d_rv.csv,EFD,63,0,0,1177,1177,1108,76,0,0,19,19,58,18,892,11,1772
101879,2019,ef2018d_rv.csv,EFD,51,1,0,1107,1108,987,75,0,0,20,20,35,19,834,7,1920
101879,2020,ef2019d_rv.csv,EFD,50,0,0,987,987,1020,75,0,0,18,18,22,16,744,4,2039
101879,2021,ef2020d_rv.csv,EFD,48,1,0,1019,1020,905,77,0,0,10,10,40,15,788,4,1901
101879,2022,ef2021d_rv.csv,EFD,45,0,0,905,905,985,75,0,0,27,27,37,17,678,10,2205
101879,2023,ef2022d_rv.csv,EFD,34,0,0,985,985,1106,76,0,0,28,28,29,18,752,8,3271
101879,2024,ef2023d.csv,EFD,37,0,0,1106,1106,1080,78,0,0,34,34,44,18,860,15,2931
102094,2007,ef2006d_RV.csv,EFD,48,,,,,1355,72,,,,,48,,,,2825
102094,2008,ef2007d_rv.csv,EFD,46,0,0,1355,1355,1457,70,,,78,78,56,,955,44,3144
102094,2009,ef2008d_rv.csv,EFD,55,0,0,1457,1457,1543,67,,,72,72,42,,981,30,2781
102094,2010,ef2009d_rv.csv,EFD,57,0,0,1543,1543,1753,67,,,74,74,57,22,1035,42,3058
102094,2011,ef2010d_rv.csv,EFD,59,0,0,1753,1753,1707,66,,,88,88,57,22,1151,50,2870
102094,2012,ef2011d_rv.csv,EFD,61,0,0,1654,1654,1879,65,,,59,59,36,21,1082,21,3078
102094,2013,ef2012d_rv.csv,EFD,63,0,0,1826,1826,1888,66,,,64,64,44,21,1202,28,2990
102094,2014,ef2013d_rv.csv,EFD,64,0,0,1886,1886,1834,68,,,56,56,36,19,1280,20,2879
102094,2015,ef2014d_rv.csv,EFD,66,0,0,1825,1825,2033,71,,,43,43,40,20,1297,17,3063
102094,2016,ef2015d_rv.csv,EFD,68,0,0,2030,2030,2084,73,,,38,38,53,20,1481,20,3080
102094,2017,ef2016d_rv.csv,EFD,61,0,0,2082,2082,1955,73,0,0,21,21,52,20,1524,11,3185
102094,2018,ef2017d_rv.csv,EFD,64,0,0,1955,1955,1870,78,0,0,41,41,61,18,1517,25,2900
102094,2019,ef2018d_rv.csv,EFD,65,0,0,1868,1868,1892,74,0,0,15,15,47,18,1390,7,2894
102094,2020,ef2019d_rv.csv,EFD,63,0,0,1889,1889,1600,74,0,0,18,18,44,17,1400,8,2549
102094,2021,ef2020d_rv.csv,EFD,62,0,0,1600,1600,1550,76,0,0,17,17,53,17,1223,9,2482
102094,2022,ef2021d_rv.csv,EFD,66,0,0,1544,1544,1751,71,0,0,27,27,37,17,1096,10,2655
102094,2023,ef2022d_rv.csv,EFD,63,0,0,1749,1749,1599,69,0,0,24,24,29,16,1203,7,2529
102094,2024,ef2023d.csv,EFD,65,0,0,1596,1596,1898,76,0,0,14,14,64,18,1217,9,2941
102368,2007,ef2006d_RV.csv,EFD,32,,,,,1666,69,,,,,39,,,,5241
102368,2008,ef2007d_rv.csv,EFD,33,0,0,1666,1666,1763,68,,,972,972,41,,1129,394,5372
102368,2009,ef2008d_rv.csv,EFD,34,0,0,1763,1763,1827,75,,,1021,1021,31,,1317,314,5387
102368,2010,ef2009d_rv.csv,EFD,33,0,0,1827,1827,1997,72,,,1081,1081,75,22,1313,811,5991
102368,2011,ef2010d_rv.csv,EFD,37,0,0,1997,1997,1810,73,,,1326,1326,34,20,1456,456,4865
102368,2012,ef2011d_rv.csv,EFD,38,0,0,1810,1810,1663,74,,,1181,1181,37,19,1333,442,4331
102368,2013,ef2012d_rv.csv,EFD,41,0,0,1663,1663,1444,72,,,833,833,42,18,1202,354,3514
102368,2014,ef2013d_rv.csv,EFD,47,0,0,1444,1444,1613,74,,,643,643,42,17,1067,272,3452
102368,2015,ef2014d_rv.csv,EFD,46,0,0,1613,1613,1502,75,,,508,508,38,15,1212,191,3235
102368,2016,ef2015d_rv.csv,EFD,60,0,0,1502,1502,1699,79,,,398,398,37,15,1189,146,2844
102368,2017,ef2016d_rv.csv,EFD,50,0,0,1673,1673,1830,74,0,0,131,131,40,15,1243,53,3673
102368,2018,ef2017d_rv.csv,EFD,49,0,1,1798,1798,1899,70,0,0,231,232,37,14,1259,85,3882
102368,2019,ef2018d_rv.csv,EFD,48,0,0,1866,1866,1691,73,0,0,209,209,33,16,1358,70,3512
102368,2020,ef2019d_rv.csv,EFD,40,0,0,1654,1654,1395,75,0,0,201,201,40,15,1242,81,3467
102368,2021,ef2020d_rv.csv,EFD,46,0,0,1365,1365,1527,77,0,0,250,250,38,18,1052,95,3327
102368,2022,ef2021d_rv.csv,EFD,48,0,0,1501,1501,1362,74,0,0,282,282,29,16,1111,81,2867
102368,2023,ef2022d_rv.csv,EFD,46,0,0,1328,1328,1413,75,0,0,200,200,29,16,993,58,3040
102368,2024,ef2023d.csv,EFD,49,0,0,1381,1381,1446,73,0,0,226,226,39,15,1008,88,2964
102553,2007,ef2006d_RV.csv,EFD,57,,,,,1351,69,,,,,54,,,,2368
102553,2008,ef2007d_rv.csv,EFD,55,0,0,966,966,1339,70,,,182,182,45,,680,82,2448
